id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,n_experience_level,n_employment_type,n_company_size
292,2022,MI,FT,"Data Scientist",130000,USD,130000,US,0,US,M,1,3,2
293,2022,MI,FT,"Data Scientist",90000,USD,90000,US,0,US,M,1,3,2
311,2022,MI,FT,"Data Scientist",50000,GBP,65438,GB,0,GB,M,1,3,2
312,2022,MI,FT,"Data Scientist",30000,GBP,39263,GB,0,GB,M,1,3,2
410,2022,MI,FT,"Data Scientist",55000,GBP,71982,GB,0,GB,M,1,3,2
411,2022,MI,FT,"Data Scientist",35000,GBP,45807,GB,0,GB,M,1,3,2
459,2022,MI,FT,"Data Scientist",2400000,INR,31615,IN,100,IN,L,1,3,3
474,2022,MI,FT,"Data Scientist",140000,GBP,183228,GB,0,GB,M,1,3,2
475,2022,MI,FT,"Data Scientist",70000,GBP,91614,GB,0,GB,M,1,3,2
478,2022,MI,FT,"Data Scientist",200000,USD,200000,US,100,US,M,1,3,2
479,2022,MI,FT,"Data Scientist",120000,USD,120000,US,100,US,M,1,3,2
492,2022,MI,FT,"Data Scientist",150000,PLN,35590,PL,100,PL,L,1,3,3
515,2022,MI,FT,"Data Scientist",48000,USD,48000,RU,100,US,S,1,3,1
518,2022,MI,FT,"Data Scientist",115000,CHF,122346,CH,0,CH,L,1,3,3
520,2022,MI,FT,"Data Scientist",88000,CAD,69336,CA,100,CA,M,1,3,2
524,2022,MI,FT,"Data Scientist",135000,USD,135000,US,100,US,L,1,3,3
526,2022,MI,FT,"Data Scientist",78000,USD,78000,US,100,US,M,1,3,2
538,2022,MI,FT,"Data Scientist",141300,USD,141300,US,0,US,M,1,3,2
539,2022,MI,FT,"Data Scientist",102100,USD,102100,US,0,US,M,1,3,2
598,2022,MI,FT,"Data Scientist",160000,USD,160000,US,100,US,M,1,3,2
599,2022,MI,FT,"Data Scientist",130000,USD,130000,US,100,US,M,1,3,2
